Date,Total,Category,State
2019-01-12,109574036.0,Beverages,Alabama
2019-01-13,109619123.37586206,Beverages,Alabama
2019-01-14,109664210.75172414,Beverages,Alabama
2019-01-15,109709298.1275862,Beverages,Alabama
2019-01-16,109754385.50344828,Beverages,Alabama
2019-01-17,109799472.87931034,Beverages,Alabama
2019-01-18,109844560.25517242,Beverages,Alabama
2019-01-19,109889647.63103448,Beverages,Alabama
2019-01-20,109934735.00689656,Beverages,Alabama
2019-01-21,109979822.38275862,Beverages,Alabama
2019-01-22,110024909.7586207,Beverages,Alabama
2019-01-23,110069997.13448276,Beverages,Alabama
2019-01-24,110115084.51034483,Beverages,Alabama
2019-01-25,110160171.8862069,Beverages,Alabama
2019-01-26,110205259.26206897,Beverages,Alabama
2019-01-27,110250346.63793103,Beverages,Alabama
2019-01-28,110295434.0137931,Beverages,Alabama
2019-01-29,110340521.38965517,Beverages,Alabama
2019-01-30,110385608.76551723,Beverages,Alabama
2019-01-31,110430696.14137931,Beverages,Alabama
2019-02-01,110475783.51724137,Beverages,Alabama
2019-02-02,110520870.89310345,Beverages,Alabama
2019-02-03,110565958.26896551,Beverages,Alabama
2019-02-04,110611045.64482759,Beverages,Alabama
2019-02-05,110656133.02068965,Beverages,Alabama
2019-02-06,110701220.39655173,Beverages,Alabama
2019-02-07,110746307.77241379,Beverages,Alabama
2019-02-08,110791395.14827587,Beverages,Alabama
2019-02-09,110836482.52413793,Beverages,Alabama
2019-02-10,110881569.9,Beverages,Alabama
2019-02-11,110926657.27586207,Beverages,Alabama
2019-02-12,110971744.65172413,Beverages,Alabama
2019-02-13,111016832.0275862,Beverages,Alabama
2019-02-14,111061919.40344827,Beverages,Alabama
2019-02-15,111107006.77931035,Beverages,Alabama
2019-02-16,111152094.15517241,Beverages,Alabama
2019-02-17,111197181.53103448,Beverages,Alabama
2019-02-18,111242268.90689655,Beverages,Alabama
2019-02-19,111287356.28275862,Beverages,Alabama
2019-02-20,111332443.65862069,Beverages,Alabama
2019-02-21,111377531.03448276,Beverages,Alabama
2019-02-22,111422618.41034482,Beverages,Alabama
2019-02-23,111467705.7862069,Beverages,Alabama
2019-02-24,111512793.16206896,Beverages,Alabama
2019-02-25,111557880.53793103,Beverages,Alabama
2019-02-26,111602967.9137931,Beverages,Alabama
2019-02-27,111648055.28965516,Beverages,Alabama
2019-02-28,111693142.66551724,Beverages,Alabama
2019-03-01,111738230.0413793,Beverages,Alabama
2019-03-02,111783317.41724138,Beverages,Alabama
2019-03-03,111828404.79310344,Beverages,Alabama
2019-03-04,111873492.16896552,Beverages,Alabama
2019-03-05,111918579.54482758,Beverages,Alabama
2019-03-06,111963666.92068966,Beverages,Alabama
2019-03-07,112008754.29655172,Beverages,Alabama
2019-03-08,112053841.6724138,Beverages,Alabama
2019-03-09,112098929.04827586,Beverages,Alabama
2019-03-10,112144016.42413794,Beverages,Alabama
2019-03-11,112189103.8,Beverages,Alabama
2019-03-12,112375011.78461538,Beverages,Alabama
2019-03-13,112560919.76923077,Beverages,Alabama
2019-03-14,112746827.75384615,Beverages,Alabama
2019-03-15,112932735.73846154,Beverages,Alabama
2019-03-16,113118643.72307692,Beverages,Alabama
2019-03-17,113304551.70769231,Beverages,Alabama
2019-03-18,113490459.6923077,Beverages,Alabama
2019-03-19,113676367.67692308,Beverages,Alabama
2019-03-20,113862275.66153845,Beverages,Alabama
2019-03-21,114048183.64615384,Beverages,Alabama
2019-03-22,114234091.63076922,Beverages,Alabama
2019-03-23,114419999.61538461,Beverages,Alabama
2019-03-24,114605907.6,Beverages,Alabama
2019-03-25,114791815.58461538,Beverages,Alabama
2019-03-26,114977723.56923077,Beverages,Alabama
2019-03-27,115163631.55384615,Beverages,Alabama
2019-03-28,115349539.53846154,Beverages,Alabama
2019-03-29,115535447.52307692,Beverages,Alabama
2019-03-30,115721355.5076923,Beverages,Alabama
2019-03-31,115907263.4923077,Beverages,Alabama
2019-04-01,116093171.47692308,Beverages,Alabama
2019-04-02,116279079.46153846,Beverages,Alabama
2019-04-03,116464987.44615385,Beverages,Alabama
2019-04-04,116650895.43076923,Beverages,Alabama
2019-04-05,116836803.41538462,Beverages,Alabama
2019-04-06,117022711.4,Beverages,Alabama
2019-04-07,117208619.38461539,Beverages,Alabama
2019-04-08,117394527.36923078,Beverages,Alabama
2019-04-09,117580435.35384615,Beverages,Alabama
2019-04-10,117766343.33846153,Beverages,Alabama
2019-04-11,117952251.32307692,Beverages,Alabama
2019-04-12,118138159.3076923,Beverages,Alabama
2019-04-13,118324067.29230769,Beverages,Alabama
2019-04-14,118509975.27692308,Beverages,Alabama
2019-04-15,118695883.26153846,Beverages,Alabama
2019-04-16,118881791.24615385,Beverages,Alabama
2019-04-17,119067699.23076923,Beverages,Alabama
2019-04-18,119253607.21538462,Beverages,Alabama
2019-04-19,119439515.2,Beverages,Alabama
2019-04-20,119625423.18461539,Beverages,Alabama
2019-04-21,119811331.16923077,Beverages,Alabama
2019-04-22,119997239.15384616,Beverages,Alabama
2019-04-23,120183147.13846155,Beverages,Alabama
2019-04-24,120369055.12307693,Beverages,Alabama
2019-04-25,120554963.10769232,Beverages,Alabama
2019-04-26,120740871.09230769,Beverages,Alabama
2019-04-27,120926779.07692307,Beverages,Alabama
2019-04-28,121112687.06153846,Beverages,Alabama
2019-04-29,121298595.04615384,Beverages,Alabama
2019-04-30,121484503.03076923,Beverages,Alabama
2019-05-01,121670411.01538461,Beverages,Alabama
2019-05-02,121856319.0,Beverages,Alabama
2019-05-03,122042226.98461539,Beverages,Alabama
2019-05-04,122228134.96923077,Beverages,Alabama
2019-05-05,122414042.95384616,Beverages,Alabama
2019-05-06,122599950.93846154,Beverages,Alabama
2019-05-07,122785858.92307693,Beverages,Alabama
2019-05-08,122971766.90769231,Beverages,Alabama
2019-05-09,123157674.8923077,Beverages,Alabama
2019-05-10,123343582.87692308,Beverages,Alabama
2019-05-11,123529490.86153847,Beverages,Alabama
2019-05-12,123715398.84615386,Beverages,Alabama
2019-05-13,123901306.83076924,Beverages,Alabama
2019-05-14,124087214.81538463,Beverages,Alabama
2019-05-15,124273122.80000001,Beverages,Alabama
2019-05-16,124459030.78461538,Beverages,Alabama
2019-05-17,124644938.76923077,Beverages,Alabama
