State,Date,Forecast,BestModel
Alabama,2023-12-04,216559904.0,XGBoost
Alabama,2023-12-05,213677120.0,XGBoost
Alabama,2023-12-06,214020176.0,XGBoost
Alabama,2023-12-07,213007056.0,XGBoost
Alabama,2023-12-08,210750304.0,XGBoost
Alabama,2023-12-09,205755456.0,XGBoost
Alabama,2023-12-10,200984048.0,XGBoost
Alabama,2023-12-11,195156528.0,XGBoost
Alabama,2023-12-12,194004304.0,XGBoost
Alabama,2023-12-13,195207040.0,XGBoost
Alabama,2023-12-14,195598512.0,XGBoost
Alabama,2023-12-15,196289920.0,XGBoost
Alabama,2023-12-16,195535840.0,XGBoost
Alabama,2023-12-17,195291488.0,XGBoost
Alabama,2023-12-18,195043248.0,XGBoost
Alabama,2023-12-19,194560656.0,XGBoost
Alabama,2023-12-20,194693024.0,XGBoost
Alabama,2023-12-21,194717904.0,XGBoost
Alabama,2023-12-22,194564224.0,XGBoost
Alabama,2023-12-23,194638992.0,XGBoost
Alabama,2023-12-24,194601856.0,XGBoost
Alabama,2023-12-25,193546544.0,XGBoost
Alabama,2023-12-26,192815792.0,XGBoost
Alabama,2023-12-27,192851744.0,XGBoost
Alabama,2023-12-28,192754736.0,XGBoost
Alabama,2023-12-29,192773376.0,XGBoost
Alabama,2023-12-30,192858464.0,XGBoost
Alabama,2023-12-31,192854096.0,XGBoost
Alabama,2024-01-01,192559456.0,XGBoost
Alabama,2024-01-02,192237360.0,XGBoost
Alabama,2024-01-03,192945760.0,XGBoost
Alabama,2024-01-04,192837360.0,XGBoost
Alabama,2024-01-05,192834288.0,XGBoost
Alabama,2024-01-06,192885712.0,XGBoost
Alabama,2024-01-07,192722736.0,XGBoost
Alabama,2024-01-08,192694800.0,XGBoost
Alabama,2024-01-09,192431504.0,XGBoost
Alabama,2024-01-10,192459456.0,XGBoost
Alabama,2024-01-11,192463600.0,XGBoost
Alabama,2024-01-12,192448880.0,XGBoost
Alabama,2024-01-13,192451120.0,XGBoost
Alabama,2024-01-14,192404832.0,XGBoost
Alabama,2024-01-15,192589008.0,XGBoost
Alabama,2024-01-16,192578224.0,XGBoost
Alabama,2024-01-17,192605920.0,XGBoost
Alabama,2024-01-18,192625264.0,XGBoost
Alabama,2024-01-19,192593408.0,XGBoost
Alabama,2024-01-20,192581424.0,XGBoost
Alabama,2024-01-21,192551744.0,XGBoost
Alabama,2024-01-22,192967232.0,XGBoost
Alabama,2024-01-23,192982112.0,XGBoost
Alabama,2024-01-24,193031104.0,XGBoost
Alabama,2024-01-25,193082640.0,XGBoost
Alabama,2024-01-26,193058928.0,XGBoost
Alabama,2024-01-27,193046944.0,XGBoost
Alabama,2024-01-28,193011856.0,XGBoost
Arizona,2023-12-04,231292512.0,XGBoost
Arizona,2023-12-05,226723808.0,XGBoost
Arizona,2023-12-06,224251424.0,XGBoost
Arizona,2023-12-07,220813536.0,XGBoost
Arizona,2023-12-08,217094224.0,XGBoost
Arizona,2023-12-09,211045872.0,XGBoost
Arizona,2023-12-10,205853040.0,XGBoost
Arizona,2023-12-11,207073696.0,XGBoost
Arizona,2023-12-12,206780928.0,XGBoost
Arizona,2023-12-13,205848096.0,XGBoost
Arizona,2023-12-14,204483456.0,XGBoost
Arizona,2023-12-15,203521584.0,XGBoost
Arizona,2023-12-16,204096464.0,XGBoost
Arizona,2023-12-17,204500320.0,XGBoost
Arizona,2023-12-18,205120624.0,XGBoost
Arizona,2023-12-19,205744800.0,XGBoost
Arizona,2023-12-20,206030896.0,XGBoost
Arizona,2023-12-21,207376464.0,XGBoost
Arizona,2023-12-22,208572336.0,XGBoost
Arizona,2023-12-23,210186000.0,XGBoost
Arizona,2023-12-24,211757104.0,XGBoost
